9980
         10697584 function calls (10694032 primitive calls) in 10.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.031    0.031 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
       33    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        1    0.000    0.000    0.017    0.017 subprocess.py:42(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
        6    0.000    0.000    0.000    0.000 PngImagePlugin.py:738(putchunk)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.003    0.003 nanfunctions.py:22(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       66    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       33    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        2    0.000    0.000    0.025    0.012 Image.py:2007(save)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:29(<module>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000   10.018   10.018 Main.py:172(render)
       21    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
       33    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      129    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:411(ImageFileDirectory_v2)
        3    0.000    0.000    0.000    0.000 ImageShow.py:157(which)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
       25    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 {built-in method posix.remove}
        1    0.000    0.000    0.007    0.007 secrets.py:7(<module>)
        1    0.000    0.000    0.021    0.021 py3k.py:12(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:850(__del__)
        1    0.000    0.000    0.022    0.022 __init__.py:10(<module>)
       42    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.014    0.014 __init__.py:124(<module>)
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        1    0.000    0.000    0.006    0.006 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.006    0.006 reduction.py:10(<module>)
       12    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.007    0.007 ImageShow.py:92(show_image)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        1    0.000    0.000    0.035    0.035 overrides.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
