         201548903 function calls (201542178 primitive calls) in 332.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
   131/65    0.000    0.000    0.007    0.000 pyparsing.py:3365(<listcomp>)
       26    0.000    0.000    0.038    0.001 pyparsing.py:2779(__init__)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
     1775    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       83    0.000    0.000    0.004    0.000 pyparsing.py:1821(__add__)
       59    0.000    0.000    0.001    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.271    0.271 __init__.py:25(<module>)
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      274    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      290    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.007    0.007 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.011    0.011 defchararray.py:17(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
     1048    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       27    0.000    0.000    0.005    0.000 pyparsing.py:1039(_trim_arity)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:3(<module>)
       42    0.000    0.000    0.001    0.000 pyparsing.py:2826(__str__)
       44    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.041    0.041 multiarray.py:7(<module>)
      569    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       66    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.024    0.024 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.006    0.006 numerictypes.py:81(<module>)
      549    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      148    0.000    0.000    0.011    0.000 __init__.py:1431(get_metadata_lines)
        1    0.000    0.000    0.502    0.502 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        6    0.000    0.000    0.008    0.001 __init__.py:1(<module>)
